selected,id,job,area,skill,skills,title,task,description,link,breakdown,microtasks,ngo_url,tutorial,idmicro,active
1,9,Graphic Designer,Design,leaflets,"Graphic Design
Adobe Creative Suite
Graphic Design / Print
Social Media / Blogging
Brand Development & Messaging
Marketing & Communications (Mar/Com)",Graphic design opportunity for creative volunteers,Marketing material designs for campaigns,"The organizations is looking for creative and paasionate graphic designers to create artwork for our fundraising campaigns and other marketing materials. Some of the items we need designs for are listed below. Please note that this list may not be complete:

T-Shirts and apparel for fund raising campaigns (related to health, cancer, and hospice)
Newsletters
Annual Reports
Brochures and Flyers
Artwork for social media posts etc.
Project specific marketing materials",https://www.volunteermatch.org/search/opp2196843.jsp,"
1. Create the following tasks for https://binayfoundation.org/
        -flyer: http://www.wikihow.com/Make-a-Flyer
        -t-shirt:http://www.wikihow.com/Design-Your-Own-T-Shirt
        -brochures: http://www.wikihow.com/Make-Brochures-on-Microsoft-Word
        -annual reports: http://www.wikihow.com/Write-a-Business-Report
        -newsletter: http://www.wikihow.com/Write-a-Good-Newsletter",,http://havserve.org,http://www.wikihow.com/Make-a-Leaflet,1,1
1,9,Graphic Designer,Design,flyer,"Graphic Design
Adobe Creative Suite
Graphic Design / Print
Social Media / Blogging
Brand Development & Messaging
Marketing & Communications (Mar/Com)",Graphic design opportunity for creative volunteers,Marketing material designs for campaigns,"The organizations is looking for creative and paasionate graphic designers to create artwork for our fundraising campaigns and other marketing materials. Some of the items we need designs for are listed below. Please note that this list may not be complete:

T-Shirts and apparel for fund raising campaigns (related to health, cancer, and hospice)
Newsletters
Annual Reports
Brochures and Flyers
Artwork for social media posts etc.
Project specific marketing materials",https://www.volunteermatch.org/search/opp2196843.jsp,"
1. Create the following tasks for https://binayfoundation.org/
        -flyer: http://www.wikihow.com/Make-a-Flyer
        -t-shirt:http://www.wikihow.com/Design-Your-Own-T-Shirt
        -brochures: http://www.wikihow.com/Make-Brochures-on-Microsoft-Word
        -annual reports: http://www.wikihow.com/Write-a-Business-Report
        -newsletter: http://www.wikihow.com/Write-a-Good-Newsletter",,http://havserve.org,http://www.wikihow.com/Make-a-Flyer,2,1
1,9,Graphic Designer,Design,business cards,"Graphic Design
Adobe Creative Suite
Graphic Design / Print
Social Media / Blogging
Brand Development & Messaging
Marketing & Communications (Mar/Com)",Graphic design opportunity for creative volunteers,Marketing material designs for campaigns,"The organizations is looking for creative and paasionate graphic designers to create artwork for our fundraising campaigns and other marketing materials. Some of the items we need designs for are listed below. Please note that this list may not be complete:

T-Shirts and apparel for fund raising campaigns (related to health, cancer, and hospice)
Newsletters
Annual Reports
Brochures and Flyers
Artwork for social media posts etc.
Project specific marketing materials",https://www.volunteermatch.org/search/opp2196843.jsp,"
1. Create the following tasks for https://binayfoundation.org/
        -flyer: http://www.wikihow.com/Make-a-Flyer
        -t-shirt:http://www.wikihow.com/Design-Your-Own-T-Shirt
        -brochures: http://www.wikihow.com/Make-Brochures-on-Microsoft-Word
        -annual reports: http://www.wikihow.com/Write-a-Business-Report
        -newsletter: http://www.wikihow.com/Write-a-Good-Newsletter",,http://havserve.org,http://www.wikihow.com/Make-Free-Business-Cards,3,1
1,9,Graphic Designer,Design,posters,"Graphic Design
Adobe Creative Suite
Graphic Design / Print
Social Media / Blogging
Brand Development & Messaging
Marketing & Communications (Mar/Com)",Graphic design opportunity for creative volunteers,Marketing material designs for campaigns,"The organizations is looking for creative and paasionate graphic designers to create artwork for our fundraising campaigns and other marketing materials. Some of the items we need designs for are listed below. Please note that this list may not be complete:

T-Shirts and apparel for fund raising campaigns (related to health, cancer, and hospice)
Newsletters
Annual Reports
Brochures and Flyers
Artwork for social media posts etc.
Project specific marketing materials",https://www.volunteermatch.org/search/opp2196843.jsp,"
1. Create the following tasks for https://binayfoundation.org/
        -flyer: http://www.wikihow.com/Make-a-Flyer
        -t-shirt:http://www.wikihow.com/Design-Your-Own-T-Shirt
        -brochures: http://www.wikihow.com/Make-Brochures-on-Microsoft-Word
        -annual reports: http://www.wikihow.com/Write-a-Business-Report
        -newsletter: http://www.wikihow.com/Write-a-Good-Newsletter",,http://havserve.org,http://www.wikihow.com/Make-a-Poster-Using-Microsoft-Word,4,1
1,9,Graphic Designer,Design,postcards,"Graphic Design
Adobe Creative Suite
Graphic Design / Print
Social Media / Blogging
Brand Development & Messaging
Marketing & Communications (Mar/Com)",Graphic design opportunity for creative volunteers,Marketing material designs for campaigns,"The organizations is looking for creative and paasionate graphic designers to create artwork for our fundraising campaigns and other marketing materials. Some of the items we need designs for are listed below. Please note that this list may not be complete:

T-Shirts and apparel for fund raising campaigns (related to health, cancer, and hospice)
Newsletters
Annual Reports
Brochures and Flyers
Artwork for social media posts etc.
Project specific marketing materials",https://www.volunteermatch.org/search/opp2196843.jsp,"
1. Create the following tasks for https://binayfoundation.org/
        -flyer: http://www.wikihow.com/Make-a-Flyer
        -t-shirt:http://www.wikihow.com/Design-Your-Own-T-Shirt
        -brochures: http://www.wikihow.com/Make-Brochures-on-Microsoft-Word
        -annual reports: http://www.wikihow.com/Write-a-Business-Report
        -newsletter: http://www.wikihow.com/Write-a-Good-Newsletter",,http://havserve.org,http://www.wikihow.com/Make-Post-Cards-in-Word,5,1
1,9,Graphic Designer,Design,infographic,"Graphic Design
Adobe Creative Suite
Graphic Design / Print
Social Media / Blogging
Brand Development & Messaging
Marketing & Communications (Mar/Com)",Graphic design opportunity for creative volunteers,Marketing material designs for campaigns,"The organizations is looking for creative and paasionate graphic designers to create artwork for our fundraising campaigns and other marketing materials. Some of the items we need designs for are listed below. Please note that this list may not be complete:

T-Shirts and apparel for fund raising campaigns (related to health, cancer, and hospice)
Newsletters
Annual Reports
Brochures and Flyers
Artwork for social media posts etc.
Project specific marketing materials",https://www.volunteermatch.org/search/opp2196843.jsp,"
1. Create the following tasks for https://binayfoundation.org/
        -flyer: http://www.wikihow.com/Make-a-Flyer
        -t-shirt:http://www.wikihow.com/Design-Your-Own-T-Shirt
        -brochures: http://www.wikihow.com/Make-Brochures-on-Microsoft-Word
        -annual reports: http://www.wikihow.com/Write-a-Business-Report
        -newsletter: http://www.wikihow.com/Write-a-Good-Newsletter",,http://havserve.org,http://www.wikihow.com/Make-a-Viral-Infographic,6,1
1,9,Graphic Designer,Design,brochure,"Graphic Design
Adobe Creative Suite
Graphic Design / Print
Social Media / Blogging
Brand Development & Messaging
Marketing & Communications (Mar/Com)",Graphic design opportunity for creative volunteers,Marketing material designs for campaigns,"The organizations is looking for creative and paasionate graphic designers to create artwork for our fundraising campaigns and other marketing materials. Some of the items we need designs for are listed below. Please note that this list may not be complete:

T-Shirts and apparel for fund raising campaigns (related to health, cancer, and hospice)
Newsletters
Annual Reports
Brochures and Flyers
Artwork for social media posts etc.
Project specific marketing materials",https://www.volunteermatch.org/search/opp2196843.jsp,"
1. Create the following tasks for https://binayfoundation.org/
        -flyer: http://www.wikihow.com/Make-a-Flyer
        -t-shirt:http://www.wikihow.com/Design-Your-Own-T-Shirt
        -brochures: http://www.wikihow.com/Make-Brochures-on-Microsoft-Word
        -annual reports: http://www.wikihow.com/Write-a-Business-Report
        -newsletter: http://www.wikihow.com/Write-a-Good-Newsletter",,http://havserve.org,http://www.wikihow.com/Make-Brochures-on-Microsoft-Word,7,1
1,10,Graphic Designer,Design,flyer,"Graphic Design
Brand Development & Messaging
Visual Arts
Graphic Design/Visual Identity
Graphic Design / Print",Graphic Designer Needed!,Marketing material designs for educational programs,"Organization needs different pieces for the same event: a postcard, flier/ poster, program booklet design.

General and/or Educational Brochures/Flyers: They have educational programs that are tied to some of our larger events that we need to create informational pieces to help promote those programs.

New Logo: At some point we would like to unveil a new logo.",https://www.volunteermatch.org/search/opp741419.jsp,"1. Create the following tasks for http://desertdancetheatre.org/
        -flyer: http://www.wikihow.com/Make-a-Flyer
        -brochures: http://www.wikihow.com/Make-Brochures-on-Microsoft-Word
        -posters: http://www.wikihow.com/Design-Posters-Online
        -postcards: http://www.wikihow.com/Make-Post-Cards-in-Word
        -booklet: http://www.wikihow.com/Make-a-Booklet-on-Microsoft-Word
        -logo: http://www.wikihow.com/Design-a-Logo
                 http://www.wikihow.com/Create-a-Logo-in-Adobe-Illustrator",,https://binayfoundation.org/,http://www.wikihow.com/Make-a-Flyer,8,1
1,10,Graphic Designer,Design,t-shirt,"Graphic Design
Brand Development & Messaging
Visual Arts
Graphic Design/Visual Identity
Graphic Design / Print",Graphic Designer Needed!,Marketing material designs for educational programs,"Organization needs different pieces for the same event: a postcard, flier/ poster, program booklet design.

General and/or Educational Brochures/Flyers: They have educational programs that are tied to some of our larger events that we need to create informational pieces to help promote those programs.

New Logo: At some point we would like to unveil a new logo.",https://www.volunteermatch.org/search/opp741419.jsp,"1. Create the following tasks for http://desertdancetheatre.org/
        -flyer: http://www.wikihow.com/Make-a-Flyer
        -brochures: http://www.wikihow.com/Make-Brochures-on-Microsoft-Word
        -posters: http://www.wikihow.com/Design-Posters-Online
        -postcards: http://www.wikihow.com/Make-Post-Cards-in-Word
        -booklet: http://www.wikihow.com/Make-a-Booklet-on-Microsoft-Word
        -logo: http://www.wikihow.com/Design-a-Logo
                 http://www.wikihow.com/Create-a-Logo-in-Adobe-Illustrator",,https://binayfoundation.org/,http://www.wikihow.com/Design-Your-Own-T-Shirt,9,1
1,10,Graphic Designer,Design,annual report,"Graphic Design
Brand Development & Messaging
Visual Arts
Graphic Design/Visual Identity
Graphic Design / Print",Graphic Designer Needed!,Marketing material designs for educational programs,"Organization needs different pieces for the same event: a postcard, flier/ poster, program booklet design.

General and/or Educational Brochures/Flyers: They have educational programs that are tied to some of our larger events that we need to create informational pieces to help promote those programs.

New Logo: At some point we would like to unveil a new logo.",https://www.volunteermatch.org/search/opp741419.jsp,"1. Create the following tasks for http://desertdancetheatre.org/
        -flyer: http://www.wikihow.com/Make-a-Flyer
        -brochures: http://www.wikihow.com/Make-Brochures-on-Microsoft-Word
        -posters: http://www.wikihow.com/Design-Posters-Online
        -postcards: http://www.wikihow.com/Make-Post-Cards-in-Word
        -booklet: http://www.wikihow.com/Make-a-Booklet-on-Microsoft-Word
        -logo: http://www.wikihow.com/Design-a-Logo
                 http://www.wikihow.com/Create-a-Logo-in-Adobe-Illustrator",,https://binayfoundation.org/,http://www.wikihow.com/Write-a-Business-Report,10,1
